wpi_number,name,lat,lon,type
7560.0,Port Jefferson,40.95,-73.08333299999998,port
7600.0,Stamford,41.033333,-73.54999999999998,port
7740.0,Troy,42.733333,-73.7,port
7840.0,Tompkinsville SI,40.633333,-74.06666699999998,port
7830.0,Stapleton SI,40.633333,-74.06666699999998,port
9985.0,Freeport,26.516667,-78.783333,port
9987.0,South Riding Point,26.616667,-78.216667,port
9990.0,Nassau,25.083333,-77.34999999999998,port
16260.0,Moss,36.8,-121.783333,port
8680.0,St Petersburg,27.766667,-82.616667,port
2555.0,Port de Valleyfield,45.216666667,-74.09999999999998,port
8240.0,Alexandria,38.8,-77.033333,port
7520.0,Essex,41.35,-72.38333299999998,port
7370.0,New Bedford,41.633333,-70.916667,port
16630.0,Bodega Bay,38.333333,-123.05,port
5060.0,Gladstone,45.85,-87.016667,port
5050.0,Escanaba,45.766667,-87.04999999999998,port
5030.0,Menominee,45.095277778,-87.58944444399998,port
5020.0,Marinette,45.083333,-87.59999999999998,port
5010.0,Oconto,44.894444444,-87.829444444,port
4940.0,Green Bay,44.516667,-88.016667,port
4920.0,Algoma,44.6,-87.433333,port
4910.0,Kewaunee,44.466667,-87.5,port
4640.0,Frankfort,44.633333,-86.25,port
4630.0,Leland,45.016667,-85.766667,port
4590.0,Harbor Springs,45.433333,-84.983333,port
4520.0,Mackinaw City,45.783333,-84.716667,port
16470.0,Benicia,38.05,-122.15,port
16170.0,Gaviota,34.466667,-120.2,port
16080.0,Los Angeles,33.75,-118.25,port
16070.0,Long Beach,33.766667,-118.183333,port
9170.0,Baytown,29.733333,-95.016667,port
8580.0,Jacksonville,30.316667,-81.65,port
8560.0,Fernandina Beach,30.683333,-81.466667,port
8550.0,Brunswick,31.15,-81.5,port
8540.0,Darien,31.366667,-81.433333,port
8430.0,Morehead City,34.716667,-76.7,port
2720.0,Gananoque,44.333333,-76.166667,port
2790.0,Alexandria Bay,44.333333,-75.916667,port
16160.0,Ellwood,34.433333,-119.916667,port
8420.0,Beaufort,34.716667,-76.666667,port
4610.0,Charlevoix,45.316667,-85.266667,port
4530.0,Mackinac Island,45.85,-84.616667,port
5070.0,Nahma,45.833333,-86.666667,port
5100.0,Manistique,45.95,-86.25,port
2700.0,Brockville,44.583333,-75.666667,port
16480.0,Martinez,38.033333,-122.133333,port
8180.0,Cape Charles,37.266667,-76.016667,port
8480.0,Southport,33.916667,-78.016667,port
4540.0,St Ignace,45.85,-84.716667,port
4580.0,St. James Harbor,45.733333,-85.516667,port
9080.0,Port Arthur,29.833333,-93.966667,port
16450.0,Port Costa,38.05,-122.183333,port
4620.0,Traverse City,44.766667,-85.616667,port
5110.0,Port Inland,45.966667,-85.866667,port
3170.0,Oswego,43.466667,-76.516667,port
9060.0,Sabine Pass,29.733333,-93.9,port
16290.0,Princetown,37.5,-122.483333,port
8610.0,Palm Beach,26.766667,-80.04999999999998,port
4600.0,Petoskey,45.366667,-84.966667,port
16320.0,Redwood City,37.533333,-122.2,port
8470.0,Wilmington,34.233333,-77.95,port
2710.0,Rockport,44.383333,-75.933333,port
8590.0,St Augustine,29.9,-81.31666699999998,port
9050.0,Sabine,29.716667,-93.866667,port
8830.0,Port Sulphur,29.483333,-89.683333,port
8460.0,Wrightsville,34.216667,-77.81666699999998,port
4930.0,Sturgeon Bay,44.833333,-87.38333299999998,port
8440.0,Swansboro,34.683333,-77.13333299999998,port
8245.0,Piney Point,38.133333,-76.533333,port
8227.0,Solomons Island,38.316667,-76.45,port
8230.0,Washington D.C.,38.866667,-77.033333,port
8190.0,Salisbury,38.366667,-75.59999999999998,port
17080.0,Hoquiam,46.966667,-123.9,port
7380.0,Newport,41.5,-71.333333,port
7340.0,Edgartown,41.383333,-70.5,port
7320.0,Falmouth,41.55,-70.616667,port
6900.0,Bangor,44.8,-68.766667,port
6640.0,Jonesport,44.533333,-67.616667,port
6610.0,Lubec,44.866667,-66.983333,port
18460.0,Comox Harbor,49.666667,-124.916667,port
18110.0,Fraser Mills,49.224147222,-122.855966667,port
18100.0,New Westminster,49.2,-122.916667,port
18055.0,Cherry Point,48.866667,-122.75,port
18050.0,Bellingham,48.75,-122.5,port
18040.0,Anacortes,48.516667,-122.616667,port
17920.0,Friday Harbor,48.533333,-123.016667,port
17790.0,Everett,48.0,-122.216667,port
